,field_1,X,Y,green_cove,green_co_1,green_co_2,green_co_3,landuse_majority,elevation_mean,elevation_range,elevation_majority,slope_mean,orientation_mean
45,45,3655798.4685,2070166.8621,2496,357306,143.15144231,148.0,311.0,306.176844124842,53.389984130859396,287.029998779297,27.2728279816984,273.470851793434
46,46,3655807.0506,2070266.1313,2506,361683,144.32681564,150.0,311.0,292.72699020157995,45.97998046875,272.54998779296903,24.8699454063207,200.51357528618198
47,47,3655815.6651,2070365.7311,2505,363749,145.20918164,147.0,311.0,280.916203387618,58.600006103515604,254.649993896484,28.1818365044984,240.080402080829
48,48,3655824.2308,2070465.0022,2496,365150,146.29407051,149.0,311.0,273.72462402037,46.989990234375,280.0,23.090856780358898,267.178751078083
49,49,3655832.8301,2070564.2699,2503,360867,144.17379145,148.0,311.0,281.891791044776,45.6799926757812,270.859985351562,23.0938280423482,275.571148051551
50,50,3655841.4176,2070663.7615,2503,363134,145.07950459,149.0,311.0,266.81654183307097,40.4600067138672,264.220001220703,22.4011708112498,275.678494630168
51,51,3655850.0171,2070763.0293,2495,348897,139.83847695,141.0,312.0,287.00584972381597,67.99002075195311,276.540008544922,25.666870636939997,222.025913619995
52,52,3655858.5917,2070862.2998,2499,359280,143.7695078,145.0,312.0,292.61845416975103,58.0599975585938,270.42999267578097,24.2672873328154,299.818273606146
53,53,3655867.1939,2070961.6789,2499,348136,139.31012405,140.0,312.0,291.67669241769,62.850006103515604,271.980010986328,27.3135289882956,229.51704544411598
54,54,3655875.7688,2071060.9495,2496,350856,140.56730769,141.0,312.0,329.710680445135,80.6600036621094,309.30999755859403,31.623909474620298,220.190715645663
55,55,3655884.3606,2071160.2185,3689,525382,142.41854161,144.0,312.0,347.697448046454,62.1900024414062,320.290008544922,21.7979248272962,218.77915059989
56,56,3655892.9549,2071259.5986,7386,1042745,141.1785811,143.0,312.0,313.048612554023,81.3900146484375,306.839996337891,20.839009980445198,193.996051200806
57,57,3655901.5815,2071359.3094,11521,1612508,139.96250325,142.0,312.0,303.437518772435,53.3900146484375,313.29998779296903,18.322067987274497,125.699041663493
58,58,3655910.1654,2071458.5795,13427,1862999,138.75020481,142.0,312.0,296.784263478799,81.8500061035156,320.339996337891,16.523059489883998,136.68140364914
59,59,3655918.7542,2071558.0717,12718,1787442,140.54426797,144.0,312.0,269.225001958242,102.60000610351601,241.970001220703,22.363284415076297,186.592395289381
60,60,3655927.3549,2071657.3402,11909,1667919,140.05533630000002,143.0,312.0,241.746571300328,88.92001342773442,214.690002441406,22.542311782863496,167.926746373046
61,61,3655935.9225,2071756.6123,11140,1564731,140.46059246,144.0,312.0,221.94771195655701,90.13998413085942,229.77000427246102,23.6709773965309,203.909330554394
62,62,3655944.5236,2071855.8809,10344,1472871,142.38892111,145.0,312.0,202.333297345214,87.6299896240234,195.679992675781,24.932431174636303,189.519608092708
63,63,3655953.0915,2071955.1532,9576,1372574,143.33479532,145.0,312.0,181.066424749387,87.8699951171875,170.550003051758,25.1936344594742,197.494198410775
64,64,3655961.6928,2072054.4219999998,8782,1239002,141.08426327,143.0,312.0,157.514879023407,89.58999633789058,187.25999450683602,21.473592866935803,192.380594638391
65,65,3655970.2610000004,2072153.6943,13632,1909476,140.07306338,141.0,112.0,166.105800872795,135.040000915527,148.850006103516,13.5199644522397,201.04753348127
66,66,3655855.4339,2069660.6463,4385,623758,142.24811859,147.0,312.0,272.3170531659,65.98001098632811,260.54998779296903,28.023772890475698,83.8580786987436
67,67,3655864.0484,2069760.3568,2510,357681,142.50239044,147.0,312.0,268.498291166702,45.8699951171875,252.38000488281202,24.3714439042724,145.681192662456
68,68,3655872.6369,2069859.625,2499,362489,145.05362145,147.0,312.0,303.93218557079797,44.8300170898438,290.649993896484,22.345570397736395,145.77842539878299
69,69,3655881.2195,2069959.0051,2499,333248,133.35254102,144.0,312.0,328.868199310303,41.209991455078104,340.75,19.7945596900582,149.188493314981
70,70,3655889.8083,2070058.2734,2502,337689,134.9676259,143.0,312.0,346.771221741179,37.769989013671896,342.30999755859403,17.3245804297954,227.11147399674
71,71,3655898.402,2070157.7638,2503,357592,142.86536157,149.0,311.0,336.729725825816,53.1099853515625,329.829986572266,25.192518004752802,270.65196830482
72,72,3655906.9910000004,2070257.0322,2496,365354,146.37580128,149.0,311.0,322.148395892074,58.0700073242188,305.57000732421903,27.796692962933303,242.308389824257
73,73,3655915.5885,2070356.2999,2495,369788,148.21162325,150.0,311.0,321.194936728418,42.3800048828125,308.79998779296903,23.706076810832,235.266480203335
74,74,3655924.1611,2070455.5702,2496,366938,147.01041667,149.0,311.0,308.2267923379,49.149993896484396,295.170013427734,24.961285481178102,267.985905570793
75,75,3655932.7505,2070554.8388,2495,363618,145.73867735,147.0,311.0,312.448291951088,42.529998779296896,304.69000244140597,23.6212859944483,284.575950200833
76,76,3655941.3234,2070654.1093,2510,361063,143.84980080000003,147.0,312.0,298.037870577066,52.160003662109396,289.779998779297,25.597466822898003,279.86654999232496
77,77,3655949.9561,2070753.8188,2509,350055,139.51972898,141.0,312.0,316.029551795466,70.69000244140621,280.970001220703,28.8216492311278,210.35159954621398
78,78,3655958.5293,2070853.0894,2496,349786,140.13862179,141.0,312.0,338.41316560524797,50.529998779296896,320.5,24.176817707080897,279.462897219251
79,79,3655967.1193,2070952.3584,2495,345688,138.55230461,139.0,312.0,339.714181433997,65.79000854492189,305.489990234375,27.8010056801797,243.808732770252
80,80,3655975.6928,2071051.6292,2500,349545,139.81799999999998,140.0,312.0,359.564962975065,47.240020751953104,360.579986572266,19.3777571271237,159.513392013416
81,81,3655984.2938,2071151.0084,2498,361813,144.84107286,145.0,312.0,353.41832864433195,36.2999877929688,346.910003662109,17.1786595514588,74.8953116145729
82,82,3655992.8676,2071250.2794,2496,357650,143.28926282,145.0,312.0,327.676834413155,38.279998779296896,316.279998779297,19.0977661441918,295.79790011692296
83,83,3656001.4581,2071349.5486,2499,352363,141.00160064,145.0,312.0,294.585410710285,41.5,289.399993896484,19.3648397999809,294.067105031222
84,84,3656010.0429,2071448.9299,2499,361131,144.51020408,145.0,312.0,263.68701768459204,48.3099975585938,244.669998168945,28.109250030422,171.605528914083
85,85,3656018.6338,2071548.1993,2496,360606,144.47355769,147.0,312.0,240.97708517103297,54.96000671386721,242.139999389648,28.5993442223899,226.104989235725
86,86,3656027.2081,2071647.4705,2510,353487,140.83147409999998,143.0,312.0,230.132736281969,62.9299926757812,220.5,30.196633163376198,275.141339487104
87,87,3656035.8505,2071747.1798,2508,343173,136.83133971,138.0,312.0,244.75347324872996,59.7299957275391,233.5,27.5425069823159,238.94676438292004
88,88,3656044.4168,2071846.4521,2497,353973,141.75931117,143.0,312.0,228.80060286018698,37.8899993896484,209.789993286133,23.9865752823988,273.072592305328
89,89,3656053.0166,2071945.7209,3445,488432,141.77997097,143.0,312.0,228.633188579393,44.5599975585938,232.059997558594,21.791698655356498,270.501165526345
90,90,3656061.5915,2072044.9924,4396,625123,142.20268426,143.0,312.0,197.68555247937599,61.6799926757812,196.00999450683602,23.905877039456502,217.92263489613097
91,91,3656070.1832,2072144.2623,12754,1780320,139.58914850000002,140.0,312.0,181.58293625325803,116.279998779297,170.550003051758,15.1200527692305,186.97935063516002
92,92,3655955.3724,2069651.438,17197,2414401,140.39663895,143.0,312.0,231.82736035652002,119.07000732421899,198.210006713867,24.773611510995103,157.623347909317
93,93,3655963.9426,2069750.708,2496,356294,142.74599359,143.0,312.0,261.86427478790296,39.6500091552734,266.130004882812,23.697690147757502,212.150823345184
94,94,3655972.5296,2069849.9762,2495,359202,143.96873747,147.0,312.0,277.95262539025504,42.389984130859396,263.829986572266,25.2405959042636,169.308846386996
95,95,3655981.125,2069949.2436,2499,362149,144.91756703,148.0,312.0,307.928549499512,50.550018310546896,292.609985351562,24.3781499123573,185.969693813324
96,96,3655989.6980000003,2070048.6248,2513,345537,137.49980103,143.0,312.0,354.09711009837997,52.75,330.279998779297,25.824858950979902,185.592378988384
97,97,3655998.3367,2070148.3331,2509,365372,145.62455161,148.0,312.0,365.591187732054,35.449981689453104,356.26998901367205,19.021605687861395,298.282768778282
98,98,3656006.8993,2070247.6042,2496,351935,140.99959936,146.0,312.0,353.500926694177,24.5999755859375,348.089996337891,13.5640067020455,296.299987797749
99,99,3656015.4953,2070346.8719,2496,356644,142.88621795,147.0,311.0,343.87494962299303,44.8200073242188,347.70999145507795,20.7132763359415,277.823125231206
100,100,3656024.0748,2070446.1415,2495,345668,138.54428858,142.0,311.0,349.65713661999,45.430023193359396,346.890014648438,22.5112131342816,240.968082379905
101,101,3656032.6545,2070545.4111,2496,342467,137.20633013,142.0,311.0,345.51804491392096,46.170013427734396,344.880004882812,20.7633998187861,231.362454434087
102,102,3656041.2343,2070644.6808,2496,339268,135.92467949,140.0,312.0,338.034164923385,36.3699951171875,342.350006103516,20.056966710863602,212.28364257354698
103,103,3656049.8142,2070743.9506,2495,332421,133.23486974,138.0,312.0,335.37211620417304,35.27001953125,338.359985351562,17.7365483601087,160.440435339131
104,104,3656058.3943,2070843.2205,2496,343338,137.55528846,142.0,312.0,343.530879341777,30.4499816894531,328.859985351562,16.0938916122494,89.38373989016571
105,105,3656066.9912,2070942.4886,2503,354173,141.49940072,142.0,312.0,347.71516285275595,36.779998779296896,331.5,18.4103701061144,110.282560220086
106,106,3656075.5763,2071041.9807,2502,354302,141.60751399,142.0,312.0,342.357731312588,50.420013427734396,329.239990234375,21.576453748783898,62.70276845423061
107,107,3656084.1735,2071141.2491,2509,351328,140.02710243,143.0,312.0,323.07524773626,51.2999877929688,309.230010986328,22.2875484056992,70.6149317675298
108,108,3656092.7887,2071240.9608,2513,351851,140.01233585,144.0,312.0,315.785421239267,40.350006103515604,316.390014648438,20.1184669083888,83.5946908905955
109,109,3656101.3969,2071340.3394,2499,323839,129.58743497,138.0,312.0,303.520450439453,40.6699829101562,299.920013427734,17.9431071202457,205.633981852233
110,110,3656109.9862,2071439.6089,2495,327736,131.35711423,140.0,312.0,286.028942963338,29.7799987792969,291.220001220703,16.985452653178598,217.027756543919
111,111,3656118.5589,2071538.8801,2500,349633,139.8532,143.0,312.0,284.05453894560503,32.120025634765604,290.160003662109,15.8462539254281,244.24616255233997
112,112,3656127.1592,2071638.2599,2499,356616,142.70348139,144.0,312.0,273.10937644597,43.53999328613279,253.070007324219,20.4555848150182,273.663765915017
113,113,3656135.7322,2071737.5313,2496,343541,137.63661859,140.0,312.0,270.548721504689,36.889984130859396,257.57000732421903,17.5897757654501,257.039878126449
114,114,3656144.3221,2071836.801,3123,438598,140.44124240000002,142.0,312.0,251.241995824526,25.8499908447266,247.649993896484,14.537012291514499,149.902398859918
115,115,3656063.8607,2069741.3921,3766,545294,144.79394583,146.0,312.0,276.578103571684,45.670013427734396,272.160003662109,25.064466253691602,242.35719694988097
116,116,3656072.4653,2069840.7697,2499,361014,144.46338535,146.0,312.0,285.077788309835,35.8800048828125,284.07000732421903,22.8369632264478,222.70782729489102
117,117,3656081.0510000004,2069940.0381,2495,356180,142.75751503,147.0,312.0,306.842030307703,47.220001220703104,310.160003662109,22.139082695906,168.67565156941401
118,118,3656089.6202,2070039.3083,2496,350673,140.49399038,146.0,312.0,340.80809967041,62.209991455078104,342.359985351562,26.4735457849503,156.436619911194
119,119,3656098.2061,2070138.5769,2499,361696,144.73629452,147.0,312.0,381.44794944763197,36.2999877929688,392.450012207031,21.2382189151645,191.005268491507
120,120,3656106.8113,2070237.9548,2499,365838,146.3937575,147.0,312.0,379.448751144409,30.2099914550781,371.429992675781,17.678072143793102,189.71374796073897
121,121,3656115.3976,2070337.2235,2502,357115,142.73181455,143.0,312.0,368.620025558472,18.8900146484375,364.45999145507795,16.0172973535955,144.900923446417
122,122,3656123.9887,2070436.7144,2503,358628,143.27926488,144.0,312.0,355.25924972534204,43.420013427734396,342.04998779296903,18.6623032480478,62.973842228651
123,123,3656132.5753,2070535.9832,2503,356627,142.47982421,143.0,312.0,334.601277898726,48.5700073242188,322.170013427734,19.059448263699,56.29978167980829
124,124,3656141.1834,2070635.4725,2505,349187,139.39600798,140.0,312.0,324.71930228445,40.899993896484396,315.029998779297,20.818659815705,82.1030082512378
125,125,3656149.7643,2070734.8535,2500,348499,139.3996,140.0,312.0,315.101930393611,43.009979248046896,326.359985351562,18.7423632007494,75.2643638601279
126,126,3656158.3512,2070834.1225,2495,353586,141.71783567,143.0,312.0,312.20854665044,35.149993896484396,293.760009765625,18.0167469512251,88.28574004209129
127,127,3656166.9467,2070933.3908,2499,342778,137.16606643,141.0,312.0,315.305286892632,33.7100219726562,308.170013427734,16.7517117597813,92.44377023026242
128,128,3656175.5196,2071032.7728,2499,347738,139.15086034,142.0,312.0,307.160799713135,45.279998779296896,292.82000732421903,20.0803115081787,58.946633343696604
129,129,3656184.1154,2071132.0413,2496,358235,143.52363782,145.0,312.0,286.952400817871,51.5599975585938,293.760009765625,24.059385166168198,83.19281168222429
130,130,3656192.6862,2071231.3124,2496,333020,133.42147436,137.0,312.0,289.19187438964804,28.1400146484375,287.079986572266,13.6229946482182,84.99725233078
131,131,3656201.2739,2071330.5819,2499,287832,115.17887155,115.0,312.0,288.471854456087,18.8899841308594,285.040008544922,8.55000662766304,78.45637657558709
132,132,3656209.8724,2071429.9616,2499,303246,121.34693878,119.0,312.0,282.077412284199,15.910003662109402,279.44000244140597,8.01824027165097,75.8774219978994
133,133,3656218.452,2071529.2319999998,2512,339885,135.30453822,139.0,312.0,278.12412342966303,33.9299926757812,279.0,14.737293644599,74.0904630731653
134,134,3656227.0855,2071629.0535,2509,349986,139.49222798,142.0,312.0,273.320470564436,33.75,259.760009765625,17.2684666272437,80.4886808041299
135,135,3656235.6737,2071728.3232,3774,525080,139.1308956,141.0,312.0,255.407658988417,52.7400054931641,245.139999389648,17.428559322421,70.218900206097
136,136,3656244.2454,2071827.5948,6259,875042,139.80540022,141.0,312.0,228.47682333661498,70.8999938964844,240.339996337891,18.6427609351928,66.7044981584431
137,137,3656252.8422,2071926.8638,35798,5051254,141.10436337,143.0,312.0,167.072880784013,114.680000305176,135.039993286133,19.095798366671602,142.89516639389
138,138,3656163.7802,2069731.7437,30899,4387621,141.99880255,145.0,312.0,245.917365882988,150.950012207031,226.11999511718798,22.6875301475027,149.87043773845102
139,139,3656172.3476,2069831.0139,8977,1287179,143.3863206,146.0,312.0,292.179825997137,75.59999084472659,311.260009765625,19.9183218364676,161.49206297415898
140,140,3656180.9318,2069930.2824,8595,1248047,145.20616638,147.0,312.0,311.303454057173,71.44000244140621,293.67999267578097,21.5840961816961,174.335485784357
141,141,3656189.5806,2070030.2119999998,6207,886354,142.79909779,147.0,312.0,344.558379168448,78.280029296875,347.829986572266,24.715958761951498,172.47122062520802
142,142,3656198.1734,2070129.4798,3725,539912,144.94281879,146.0,312.0,381.45302269495795,40.800018310546896,377.809997558594,16.9017552499738,125.68597639574699
143,143,3656206.7331,2070228.7512,2499,366497,146.65746299,147.0,312.0,373.369171830945,38.0900268554688,364.109985351562,17.679096550571,52.0283642324589
144,144,3656215.3262,2070328.0191,2495,362557,145.31342685,146.0,312.0,353.859798786922,27.760009765625,353.850006103516,13.778094763719801,60.5018881330412
145,145,3656223.9028,2070427.2889,2496,358012,143.43429487,144.0,312.0,334.216124801636,45.079986572265604,335.290008544922,17.264108915329,35.5902670139074
146,146,3656232.4795,2070526.5587,2495,355960,142.66933868,144.0,312.0,308.74571639284403,45.0800170898438,292.79998779296903,19.8225220120524,39.9427491819829
147,147,3656241.0564,2070625.8286,2496,351327,140.75600962,142.0,312.0,287.04560230964404,42.410003662109396,272.119995117188,20.6927854475664,74.2023680557558
148,148,3656249.6501,2070725.0969,2496,344772,138.12980769,138.0,312.0,286.765994439497,37.209991455078104,285.980010986328,21.860625812328703,128.515050305527
149,149,3656258.244,2070824.3652,2495,354955,142.26653307,143.0,312.0,277.859247766939,44.18000793457029,292.730010986328,21.536449788507102,93.812763900237
150,150,3656266.8046,2070923.6369999999,2513,352959,140.45324314,142.0,312.0,285.693564537728,41.519989013671896,276.769989013672,20.7931210971115,103.627100415749
151,151,3656275.4524,2071023.4564,2513,355308,141.38798249,142.0,312.0,278.29034521785803,39.529998779296896,268.829986572266,19.1851043159579,76.4136372507354
152,152,3656284.0383,2071122.7258,2499,354206,141.73909564,143.0,312.0,263.861608764035,45.1400146484375,259.79998779296903,21.8140564096633,124.86620595650601
153,153,3656292.6351,2071222.1054,2499,358522,143.46618647,146.0,312.0,253.461428458231,56.0000152587891,229.99000549316398,29.1907428452246,128.947922675532
154,154,3656301.2046,2071321.3767,2496,344816,138.1474359,142.0,312.0,277.12745689564997,33.910003662109396,269.54998779296903,14.670099244685302,94.8258335145955
155,155,3656309.791,2071420.6464,2495,348805,139.80160321,142.0,312.0,268.561604473525,37.670013427734396,274.54998779296903,15.1180346080833,58.53769178438311
156,156,3656318.3858,2071519.9152,2499,346860,138.79951981,140.0,312.0,253.416550254822,47.5499877929688,254.330001831055,19.915218436718,58.8524337244034
157,157,3656326.9582,2071619.2978,3769,525839,139.51684797,141.0,312.0,237.15281760788602,42.1900024414062,230.080001831055,17.3362767623435,77.3052879032497
158,158,3656306.6347,2070218.9948,3755,547840,145.89613848,148.0,312.0,360.233322501983,48.6799926757812,335.790008544922,20.1824145653104,157.670790604097
159,159,3656315.2180000003,2070318.2637,2495,365532,146.50581162,149.0,312.0,332.957330353014,35.449981689453104,326.29998779296903,16.243128310522998,63.133849644540796
160,160,3656323.7848,2070417.5344,2506,368087,146.88228252,149.0,312.0,318.417686348531,32.3699951171875,306.130004882812,14.571511664793901,43.58135391023029
161,161,3656332.4006,2070517.134,2506,356825,142.38826816,143.0,312.0,299.08613782826,27.9100036621094,299.519989013672,12.892187922307802,173.769950624352
162,162,3656340.9844,2070616.4031,2496,350165,140.29046474,141.0,312.0,274.269298046753,39.0,290.269989013672,20.219903159559802,295.00493017979
163,163,3656349.5683,2070715.6723,2503,346570,138.46184579,140.0,312.0,257.137189343201,38.589996337890604,246.550003051758,21.7837431869697,135.308682954133
164,164,3656358.1822,2070815.1611,2502,354083,141.51998401,142.0,312.0,249.65455251665298,52.100006103515604,245.580001831055,23.3228391272512,67.7343468205327
165,165,3656366.7497,2070914.4322,2499,350368,140.20328131,142.0,312.0,254.22577522277803,41.989990234375,242.779998779297,20.4176690387726,103.539349551201
166,166,3656375.3447,2071013.8118,2499,349610,139.89995998,141.0,312.0,254.045012438386,29.25,243.289993286133,16.4025104265855,100.930296020318
167,167,3656383.9209,2071113.0822,2496,345966,138.60817308,140.0,312.0,250.86432126299198,30.309997558593803,241.949996948242,14.2828941153522,48.822115073851
168,168,3656392.5138,2071212.3509,2495,357944,143.46452906,145.0,312.0,227.466180657622,38.399993896484396,216.050003051758,23.565332030531103,99.398791226301
169,169,3656401.0819,2071311.6223,2499,345236,138.14965986,140.0,312.0,247.670652117048,46.1900024414062,246.970001220703,20.8369946408093,121.80306176972
170,170,3656409.6775,2071411.0022,2513,347506,138.2833267,140.0,312.0,247.13172871154,32.6199951171875,237.080001831055,14.844979645587802,69.64829530362731
171,171,3656418.3138,2071510.7119,2509,346500,138.10282981,139.0,312.0,230.223423808739,36.6699981689453,240.820007324219,19.0084399313252,173.334182674477
172,172,3656426.8989999997,2071609.9817,6327,890202,140.69890944,142.0,312.0,208.87549757182302,45.91999816894529,200.11999511718798,21.2586345869919,113.518090898298
173,173,3656406.546,2070209.6842,6229,910151,146.11510676,149.0,312.0,353.34830518211,61.5499877929688,341.45001220703097,20.413603113156398,176.062821514206
174,174,3656415.1577,2070309.1726,2502,369508,147.68505196,148.0,312.0,323.191421622945,29.5,331.760009765625,16.964923553038698,249.29724028163997
175,175,3656423.7314,2070408.4426,2496,363302,145.5536859,147.0,312.0,301.071403025386,42.040008544921896,301.329986572266,21.867296866605802,137.81691735370399
176,176,3656432.3219,2070507.7109,2495,364740,146.18837675,148.0,312.0,281.396080553831,48.30000305175779,283.510009765625,21.697729496500603,92.41473837473879
177,177,3656440.9042,2070606.9801,2496,346190,138.69791667,139.0,312.0,270.028387420424,40.3800048828125,256.25,19.026230374871897,57.6456081557934
178,178,3656449.495,2070706.2486,2495,347478,139.26973948,140.0,312.0,244.223869132037,43.329986572265604,225.36999511718798,21.4364234766169,135.30351883038202
179,179,3656458.0609,2070805.5197,2510,361188,143.89960159,146.0,312.0,226.866848285382,32.0599975585938,218.570007324219,22.0667572160513,131.028956105632
180,180,3656466.6866,2070905.2299,2509,355374,141.63969709,144.0,312.0,222.37442794723898,37.8600006103516,208.089996337891,23.420071684899,137.097421200121
181,181,3656475.2694,2071004.4994,2496,345590,138.45753205,140.0,312.0,228.906215390466,38.5399932861328,236.72999572753898,20.5930515757778,97.4357941419558
